country,countrycode,gold,silver,bronze,total,aquaticsgold,aquaticssilver,aquaticsbronze,artswimgold,artswimsilver,artswimbronze,divinggold,divingsilver,divingbronze,swimminggold,swimmingsilver,swimmingbronze,pologold,polosilver,polobronze,archerygold,archerysilver,archerybronze,athleticsgold,athleticssilver,athleticsbronze,fieldgold,fieldsilver,fieldbronze,trackgold,tracksilver,trackbronze,badmintongold,badmintonsilver,badmintonbronze,baseballgold,baseballsilver,baseballbronze,softballgold,softballsilver,softballbronze,basketballgold,basketballsilver,basketballbronze,threegold,threesilver,threebronze,boxinggold,boxingsilver,boxingbronze,canoeinggold,canoeingsilver,canoeingbronze,slalomgold,slalomsilver,slalombronze,sprintgold,sprintsilver,sprintbronze,cyclinggold,cyclingsilver,cyclingbronze,bmxfreegold,bmxfreesilver,bmxfreebronze,bmxracinggold,bmxracingsilver,bmxracingbronze,mountbikegold,mountbikesilver,mountbikebronze,roadcyclinggold,roadcyclingsilver,roadcyclingbronze,trackcyclinggold,trackcyclingsilver,trackcyclingbronze,equestriangold,equestriansilver,equestrianbronze,dressagegold,dressagesilver,dressagebronze,eventinggold,eventingsilver,eventingbronze,jumpinggold,jumpingsilver,jumpingbronze,fencinggold,fencingsilver,fencingbronze,hockeygold,hockeysilver,hockeybronze
Chinese Taipei,TW,2.3,2.4,2.1,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.9,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.5,0.5,0.6,0,0,0.1,0,0,0,0,0,0,0,0,0,1,0.8,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,BE,1.9,1.9,1.8,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.3,0.2,0.2,0.2,0.3,0.3,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0,0,0,0,0,0,0.3,0.2,0.2,0,0,0,0.3,0.2,0.2,0.7,0.6,0.6,0,0,0,0,0,0,0,0,0,0.6,0.5,0.4,0.1,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.3,0.2
India,IN,1.6,1.5,1.4,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0,0,0.1,0,0,0,0,0,0.1,0.1,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1.3,1.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
Czech Republic,CZ,1.5,1.4,1.4,4.3,0.2,0.3,0.3,0,0,0,0,0,0,0.2,0.3,0.3,0,0,0,0,0,0,0.2,0.3,0.4,0.1,0.2,0.2,0.1,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0.9,0.7,0.5,0.4,0.3,0.6,0.5,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan,KZ,1.5,1.4,1.3,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,1.2,1,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,MA,1,0.8,0.7,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.3,0.2,0,0,0,0.5,0.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.5,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,CA,4.3,5,6,15.3,2.1,2.3,2.5,0.1,0.1,0.1,1.1,1.1,1,0.9,1.1,1.3,0,0,0.1,0,0,0,1.2,1.4,1.7,0.5,0.5,0.6,0.7,0.9,1.1,0,0,0,0,0,0,0.1,0.2,0.3,0,0,0.1,0,0,0,0.1,0.1,0.2,0.3,0.3,0.3,0,0,0,0.3,0.3,0.3,0.4,0.6,0.7,0,0,0,0,0,0,0.1,0.2,0.2,0,0,0,0.3,0.4,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0
Ukraine,UA,2.6,3,3.4,9,0.8,0.9,1.1,0.3,0.3,0.4,0.1,0.1,0.2,0.4,0.5,0.5,0,0,0,0,0,0,0.9,1,1.1,0.8,0.9,0.9,0.1,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.3,0.4,0,0,0,0.2,0.3,0.4,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0.7,0,0,0
Spain,ES,2.4,2.7,2.8,7.9,0.5,0.7,0.7,0.1,0.1,0.1,0,0,0,0.1,0.2,0.2,0.3,0.4,0.4,0,0,0,0.4,0.4,0.5,0.1,0.1,0.1,0.3,0.3,0.4,0,0,0.1,0,0,0,0,0,0,0.5,0.5,0.4,0,0,0,0,0,0.1,0.8,1,1.1,0.2,0.3,0.4,0.6,0.7,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
Brazil,BR,1.6,1.8,2.1,5.5,0.3,0.4,0.5,0,0,0,0,0,0,0.3,0.4,0.5,0,0,0,0,0,0,0.5,0.6,0.7,0.2,0.2,0.3,0.3,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.3,0.3,0.4,0.1,0.1,0.1,0.2,0.2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.3,0.2,0,0,0
